shell,n_in_shell,r_mpc,phi_tick,theta_tick,omega,trichter_depth,x,y,z,alpha,delta_phi_tick
0,13,0.0,11566.0,37034.24174548665,2.5,0.0,0.0,0.0,-0.0,1.5,0.0
0,13,0.0,100304.0,26375.440849343842,2.5,0.0,0.0,-0.0,0.0,1.5,0.0
0,13,0.0,84832.0,31596.25219390819,2.5,0.0,-0.0,-0.0,0.0,1.5,0.0
0,13,0.0,56878.0,30306.927992567817,2.5,0.0,-0.0,0.0,0.0,1.5,0.0
0,13,0.0,56118.0,39313.59281934735,2.5,0.0,-0.0,0.0,-0.0,1.5,0.0
0,13,0.0,111274.0,34730.61494530676,2.5,0.0,0.0,-0.0,-0.0,1.5,0.0
0,13,0.0,11138.0,37628.73813498745,2.5,0.0,0.0,0.0,-0.0,1.5,0.0
0,13,0.0,90378.0,31483.310021002762,2.5,0.0,-0.0,-0.0,0.0,1.5,0.0
0,13,0.0,26110.0,27981.267292913384,2.5,0.0,0.0,0.0,0.0,1.5,0.0
0,13,0.0,12205.0,33284.27354965652,2.5,0.0,0.0,0.0,-0.0,1.5,0.0
0,13,0.0,68231.0,25333.83954888764,2.5,0.0,-0.0,-0.0,0.0,1.5,0.0
0,13,0.0,126440.0,37707.62498627983,2.5,0.0,0.0,-0.0,-0.0,1.5,0.0
0,13,0.0,95353.0,34532.96326577745,2.5,0.0,-0.0,-0.0,-0.0,1.5,0.0
1,13,500.0,98643.0,31860.880260377955,1.25,0.0009372070922755715,34.9388436607979,-498.60658536422176,13.06285702355937,1.5,0.0
1,13,500.0,21413.0,25009.621005753106,1.25,0.0009372070922755715,237.7906924874448,403.37539104888407,175.28181423791497,1.5,0.0
1,13,500.0,98248.0,26799.489771494274,1.25,0.0009372070922755715,24.463005099703288,-481.0605246208505,134.054234356258,1.5,0.0
1,13,500.0,90787.0,35365.393042527765,1.25,0.0009372070922755715,-151.38499248403494,-471.11664985563095,-71.61229094670195,1.5,0.0
