shell,r_mpc,n_in_shell,fill,alpha,omega_base,omega_eff,trichter_depth,drift_ticks
77,38500.0,13,1.0,1.5,0.006723660194252877,0.016809150485632193,1.463122729446731,2215.9083525518945
78,39000.0,13,1.0,1.5,0.006625281109422806,0.016563202773557016,1.4665276278345503,127990.92953435873
79,39500.0,13,1.0,1.5,0.006529558171426677,0.016323895428566694,1.4696561036942617,124269.22170506921
80,40000.0,13,1.0,1.5,0.0064363876485681835,0.01609096912142046,1.4725265416668987,120646.75177633102
81,40500.0,13,1.0,1.5,0.006345671079576121,0.0158641776989403,1.4751565189262827,117119.69157391958
82,41000.0,13,1.0,1.5,0.006257314945386447,0.015643287363466117,1.4775627979491337,113684.40507662506
83,41500.0,13,1.0,1.5,0.006171230365037213,0.015428075912593032,1.4797613248129784,110337.43659264685
84,42000.0,13,1.0,1.5,0.00608733281364145,0.015218332034103626,1.4817672325051277,107075.4997943796
85,42500.0,13,1.0,1.5,0.006005541860596563,0.015013854651491408,1.4835948487340924,103895.46753999437
86,43000.0,13,1.0,1.5,0.005925780926361796,0.014814452315904489,1.4852577077469304,100794.36241694662
87,43500.0,13,1.0,1.5,0.0058479770562903455,0.014619942640725863,1.4867685656716683,97769.34794856864
88,44000.0,13,1.0,1.5,0.005772060710141676,0.014430151775354191,1.4881394189226098,94817.7204103084
89,44500.0,13,1.0,1.5,0.0056979655660244315,0.014244913915061079,1.4893815252275076,91936.90120702994
90,45000.0,13,1.0,1.5,0.0056256283376325995,0.014064070844081499,1.4905054268587714,89124.4297671555
91,45500.0,13,1.0,1.5,0.005554988603738621,0.013887471509346553,1.4915209756756775,86377.95691335757
92,46000.0,13,1.0,1.5,0.005485988648998225,0.013714971622495561,1.4924373596104636,83695.23867305098
93,46500.0,13,1.0,1.5,0.005418573315203949,0.013546433288009873,1.4932631302578827,81074.13049512956
94,47000.0,13,1.0,1.5,0.005352689862198588,0.013381724655496469,1.4940062312548732,78512.5818422811
95,47500.0,13,1.0,1.5,0.005288287837726915,0.013220719594317287,1.494674027164136,76008.63113082244
96,48000.0,13,1.0,1.5,0.005225318955564899,0.013063297388912248,1.4952733326023333,73560.40099236328
97,48500.0,13,1.0,1.5,0.0051637369813206805,0.0129093424533017,1.495810441380026,71166.09383374805
98,49000.0,13,1.0,1.5,0.005103497625351601,0.012758744063379002,1.4962911554461886,68823.98767367026
99,49500.0,13,1.0,1.5,0.005044558442287031,0.012611396105717577,1.496720813454916,66532.43223611976
100,50000.0,13,1.0,1.5,0.004986878736687972,0.01246719684171993,1.4971043187956585,64289.845282428316
101,50500.0,13,1.0,1.5,0.004930419474412023,0.012326048686030057,1.4974461669508514,62094.709165139444
102,51000.0,13,1.0,1.5,0.004875143199286527,0.012187857998216317,1.4977504720660053,59945.567588260164
103,51500.0,13,1.0,1.5,0.004821013954723917,0.012052534886809792,1.4980209926371764,57841.0225596659
104,52000.0,13,1.0,1.5,0.00476799720994177,0.011919993024854424,1.4982611562391432,55779.73152253599
105,52500.0,13,1.0,1.5,0.004716059790476097,0.011790149476190242,1.498474083234578,53760.40465371063
106,53000.0,13,1.0,1.5,0.004665169812700169,0.011662924531750421,1.498662609420007,51781.80231778254
107,53500.0,13,1.0,1.5,0.004615296622082984,0.01153824155520746,1.4988293075784003,49842.73266658641
108,54000.0,13,1.0,1.5,0.0045664107349413655,0.011416026837353413,1.4989765079208655,47942.049374520284
109,54500.0,13,1.0,1.5,0.004518483783458002,0.011296209458645005,1.4991063174111754,46078.649500847125
110,55000.0,13,1.0,1.5,0.004471488463754471,0.011178721159386177,1.4992206379767679,44251.47147077383
111,55500.0,13,1.0,1.5,0.004425398486823686,0.011063496217059215,1.4993211836185172,42459.4931677049
112,56000.0,13,1.0,1.5,0.004380188532140372,0.01095047133035093,1.4994094964390174,40701.730129617674
113,56500.0,13,1.0,1.5,0.004335834203781118,0.010839585509452795,1.4994869616154416,38977.23384300986
114,57000.0,13,1.0,1.5,0.004292311988897599,0.010730779972243998,1.49955482134831,37285.09012833866
115,57500.0,13,1.0,1.5,0.00424959921839752,0.010623998045993802,1.499614187821799,35624.41761129559
116,58000.0,13,1.0,1.5,0.004207674029698002,0.010519185074245005,1.4996660552146217,33994.3662746583
117,58500.0,13,1.0,1.5,0.0041665153314255285,0.010416288328563821,1.4997113108031241,32394.116085824557
118,59000.0,13,1.0,1.5,0.00412610276994517,0.010315256924862924,1.499750745200089,30822.875695468218
119,59500.0,13,1.0,1.5,0.004086416697609821,0.010216041744024552,1.4997850617739656,29279.881203069846
120,60000.0,13,1.0,1.5,0.004047438142627548,0.010118595356568871,1.49981488529387,27764.394985359075
121,60500.0,13,1.0,1.5,0.004009148780451971,0.010022871951129927,1.499840769845833,26275.704583972634
122,61000.0,13,1.0,1.5,0.003971530906606922,0.009928827266517306,1.4998632060654566,24813.12164887713
123,61500.0,13,1.0,1.5,0.003934567410862477,0.009836418527156192,1.4998826277314552,23375.980934333114
124,62000.0,13,1.0,1.5,0.003898241752684842,0.009745604381712106,1.4998994177635459,21963.63934438667
125,62500.0,13,1.0,1.5,0.0038625379378876674,0.009656344844719169,1.4999139136668909,20575.47502507252
126,63000.0,13,1.0,1.5,0.003827440496416937,0.009568601241042344,1.4999264124638159,19210.88650069054
127,63500.0,13,1.0,1.5,0.0037929344612059926,0.009482336153014982,1.4999371751518704,17869.29185168899
128,64000.0,13,1.0,1.5,0.0037590053480412115,0.009397513370103028,1.4999464307255375,16550.12793184229
129,64500.0,13,1.0,1.5,0.003725639136382623,0.009314097840956556,1.4999543797970263,15252.849622556358
130,65000.0,13,1.0,1.5,0.003692822251087216,0.00923205562771804,1.499961197849666,13976.929122270958
131,65500.0,13,1.0,1.5,0.003660541544985917,0.009151353862464792,1.4999670381554728,12721.855269052438
132,66000.0,13,1.0,1.5,0.003628784282268253,0.009071960705670632,1.4999720343865026,11487.132894589653
133,66500.0,13,1.0,1.5,0.003597538122631473,0.008993845306578683,1.4999763029476718,10272.28220791166
134,67000.0,13,1.0,1.5,0.0035667911061535644,0.00891697776538391,1.4999799450568188,9076.838207250577
135,67500.0,13,1.0,1.5,0.0035365316388520124,0.008841329097130032,1.4999830485959351,7900.350118566246
136,68000.0,13,1.0,1.5,0.0035067484788924167,0.008766871197231041,1.4999856897556902,6742.380859337165
137,68500.0,13,1.0,1.5,0.003477430723413234,0.008693576808533086,1.4999879344936575,5602.5065263065335
138,69000.0,13,1.0,1.5,0.003448567795934868,0.008621419489837169,1.4999898398250036,4480.315905947646
139,69500.0,13,1.0,1.5,0.0034201494343231976,0.008550373585807994,1.4999914549628335,3375.4100064859085
140,70000.0,13,1.0,1.5,0.0033921656792793623,0.008480414198198406,1.4999928223239118,2287.40161038161
141,70500.0,13,1.0,1.5,0.003364606863329246,0.008411517158323115,1.4999939784140826,1215.9148462410958
142,71000.0,13,1.0,1.5,0.0033374636002876166,0.008343659000719041,1.4999949546064126,160.5847791825363
143,71500.0,13,1.0,1.5,0.003310726775173305,0.008276816937933262,1.4999957778238686,128721.05701873807
144,72000.0,13,1.0,1.5,0.0032843875345531168,0.008210968836382792,1.4999964711372,127696.98734342518
145,72500.0,13,1.0,1.5,0.0032584372772934567,0.008146093193233641,1.4999970542876686,126688.04134116958
146,73000.0,13,1.0,1.5,0.0032328676456997705,0.008082169114249426,1.4999975441432891,125693.89406480709
147,73500.0,13,1.0,1.5,0.0032076705170250297,0.008019176292562574,1.4999979550963651,124714.22970193315
148,74000.0,13,1.0,1.5,0.0031828379953295237,0.00795709498832381,1.499998299409292,123748.74125841187
149,74500.0,13,1.0,1.5,0.0031583624036751606,0.007895906009187902,1.4999985875148565,122797.13025489026
150,75000.0,13,1.0,1.5,0.0031342362766384143,0.007835590691596036,1.4999988282765888,121859.10643570156
151,75500.0,13,1.0,1.5,0.003110452353126884,0.007776130882817211,1.4999990292141046,120934.38748957326
152,76000.0,13,1.0,1.5,0.003087003569485263,0.007717508923713157,1.4999991966978294,120022.69878158701
153,76500.0,13,1.0,1.5,0.0030638830528772333,0.0076597076321930834,1.4999993361169894,119123.77309586681
154,77000.0,13,1.0,1.5,0.0030410841149305446,0.007602710287326361,1.4999994520242987,118237.35038849957
155,77500.0,13,1.0,1.5,0.003018600245633179,0.007546500614082947,1.4999995482603832,117363.177550218
156,78000.0,13,1.0,1.5,0.0029964251074691486,0.007491062768672872,1.4999996280605972,116501.0081784005
157,78500.0,13,1.0,1.5,0.002974552529783058,0.0074363813244576445,1.499999694146587,115650.6023579653
158,79000.0,13,1.0,1.5,0.002952976503363114,0.007382441258407786,1.4999997488046444,114811.72645075788
159,79500.0,13,1.0,1.5,0.002931691175232817,0.007329227938082043,1.4999997939526606,113984.15289305193
160,80000.0,13,1.0,1.5,0.0029106908436420304,0.007276727109105076,1.499999831197238,113167.66000080215
161,80500.0,13,1.0,1.5,0.0028899699532486155,0.007224924883121538,1.499999861882338,112362.03178230618
162,81000.0,13,1.0,1.5,0.0028695230904822637,0.007173807726205659,1.499999887130651,111567.0577579504
163,81500.0,13,1.0,1.5,0.0028493449790825518,0.007123362447706379,1.4999999078787223,110782.53278672963
164,82000.0,13,1.0,1.5,0.002829430475803666,0.007073576189509165,1.4999999249067297,110008.25689924652
165,82500.0,13,1.0,1.5,0.0028097745662785958,0.00702443641569649,1.499999938863691,109244.0351369118
166,83000.0,13,1.0,1.5,0.0027903723610359587,0.006975930902589897,1.4999999502887658,108489.67739707806
167,83500.0,13,1.0,1.5,0.002771219091662944,0.006928047729157359,1.4999999596292326,107744.99828385524
168,84000.0,13,1.0,1.5,0.002752310107108185,0.0068807752677704625,1.4999999672556332,107009.81696436623
169,84500.0,13,1.0,1.5,0.0027336408701186597,0.0068341021752966495,1.4999999734745157,106283.9570302135
170,85000.0,13,1.0,1.5,0.0027152069538050006,0.006788017384512502,1.4999999785391371,105567.24636393842
171,85500.0,13,1.0,1.5,0.0026970040383298803,0.006742510095824701,1.4999999826584398,104859.51701026576
172,86000.0,13,1.0,1.5,0.0026790279077143517,0.006697569769285879,1.4999999860045687,104160.60505193399
173,86500.0,13,1.0,1.5,0.0026612744467573116,0.006653186116893279,1.4999999887191575,103470.35048992428
174,87000.0,13,1.0,1.5,0.002643739638063438,0.006609349095158595,1.4999999909185766,102788.59712790647
175,87500.0,13,1.0,1.5,0.002626419559175193,0.006566048897937983,1.4999999926983092,102115.19246073152
176,88000.0,13,1.0,1.5,0.0026093103798046856,0.006523275949511714,1.4999999941365925,101449.98756680619
177,88500.0,13,1.0,1.5,0.002592408359161357,0.006481020897903393,1.4999999952974452,100792.83700419357
178,89000.0,13,1.0,1.5,0.0025757098433716753,0.006439274608429188,1.4999999962331807,100143.59871029074
179,89500.0,13,1.0,1.5,0.0025592112629871633,0.0063980281574679086,1.4999999969864888,99502.13390494091
180,90000.0,13,1.0,1.5,0.002542909130577267,0.006357272826443168,1.4999999975921579,98868.30699684414
181,90500.0,13,1.0,1.5,0.0025268000384037256,0.006317000096009314,1.4999999980785004,98241.98549313685
182,91000.0,13,1.0,1.5,0.002510880656173254,0.006277201640433135,1.4999999984685255,97623.0399120161
183,91500.0,13,1.0,1.5,0.0024951477288654884,0.006237869322163721,1.4999999987809085,97011.34369829019
